GraphVizId,NodeID,Function,InDegree,OutDegree,DirectCalls,IndirectCalls,BBs,NumLoops,CondBranches,UnCondBranches,Instructions,MemOps,StaticAllocations,DynamicAllocations,BasicMathOps,LogicOps,BitShiftOps,RegisterOps,PortOps,ApiFilesystemCalls,ApiRegistryCalls,ApiNetworkCalls,ApiDLLCalls,ApiObjectCalls,ApiProcessCalls,ApiServiceCalls,ApiSynchronizationCalls,ApiSystemInformationCalls,ApiTimeCalls,code,category,vulnerable,coarse_category,MallocCallCount,FreeCallCount,GepCount,StringFuncCount,IndirectCallInstCount,CmpCount,SelectCount,PhiCount,ReturnCount,SwitchCount,MaxBBsize
n1,1,CWE121_Stack_Based_Buffer_Overflow__CWE805_wchar_t_alloca_memcpy_66b_goodG2BSink,0,3,3,0,1,0,0,0,23,20,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"{
    wchar_t * data = dataArray[2];
    {
        wchar_t source[100];
        wmemset(source, L'C', 100-1); /* fill with L'C's */
        source[100-1] = L'\0'; /* null terminate */
        
        memcpy(data, source, 100*sizeof(wchar_t));
        data[100-1] = L'\0'; /* Ensure the destination buffer is null terminated */
        printWLine(data);
    }
}",Stack_Based_Buffer_Overflow,0,BufferOverflowWrite,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0
n0,0,CWE121_Stack_Based_Buffer_Overflow__CWE193_char_alloca_memcpy_12_bad,0,5,5,0,4,0,1,2,35,24,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"{
    char * data;
    char * dataBuffer = (char *)ALLOCA((10)*sizeof(char));
    if(globalReturnsTrueOrFalse())
    {
        
        data = dataBuffer;
        data[0] = '\0'; /* null terminate */
    }
    else
    {
        
        data[0] = '\0'; /* null terminate */
    }
    {
        char source[10+1] = SRC_STRING;
        /* Copy length + 1 to include NUL terminator from source */
        
        memcpy(data, source, (strlen(source) + 1) * sizeof(char));
        printLine(data);
    }
}",Stack_Based_Buffer_Overflow,1,BufferOverflowWrite,0.0,0.0,8.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,12.0
n2,2,CWE259_Hard_Coded_Password__w32_char_22_goodG2B2Source,0,3,3,0,7,0,3,3,32,16,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{
    {
        {
            size_t passwordLen = 0;
            
            if (fgets(password, 100, stdin) == NULL)
            {
                printLine(""fgets() failed"");
                /* Restore NUL terminator if fgets fails */
                password[0] = '\0';
            }
            /* Remove the carriage return from the string that is inserted by fgets() */
            passwordLen = strlen(password);
            if (passwordLen > 0)
            {
                password[passwordLen-1] = '\0';
            }
        }
    }
    return password;
}",Hard_Coded_Password,0,Crypto,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,6.0
n0,0,CWE197_Numeric_Truncation_Error__short_large_18_bad,0,1,1,0,2,0,0,1,11,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"{
    short data;
    /* Initialize data */
    data = -1;
    goto source;
source:
    
    data = CHAR_MAX + 1;
    {
        
        char charData = (char)data;
        printHexCharLine(charData);
    }
}",Numeric_Truncation_Error,1,IntegerArithmetic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0
n5,5,CWE321_Hard_Coded_Cryptographic_Key__w32_wchar_t_61b_goodG2BSource,0,5,5,0,7,0,3,3,41,20,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"{
    {
        size_t cryptoKeyLen = wcslen(cryptoKey);
        /* if there is room in cryptoKey, read into it from the console */
        if(100-cryptoKeyLen > 1)
        {
            
            if (fgetws(cryptoKey+cryptoKeyLen, (int)(100-cryptoKeyLen), stdin) == NULL)
            {
                printLine(""fgetws() failed"");
                /* Restore NUL terminator if fgetws fails */
                cryptoKey[cryptoKeyLen] = L'\0';
            }
            /* The next 3 lines remove the carriage return from the string that is
             * inserted by fgetws() */
            cryptoKeyLen = wcslen(cryptoKey);
            if (cryptoKeyLen > 0)
            {
                cryptoKey[cryptoKeyLen-1] = L'\0';
            }
        }
    }
    return cryptoKey;
}",Hard_Coded_Cryptographic_Key,0,Crypto,,,,,,,,,,,
n1,1,CWE122_Heap_Based_Buffer_Overflow__sizeof_struct_68b_goodG2BSink,0,2,2,0,1,0,0,0,9,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"{
    
    printStructLine(data);
    free(data);
}",Heap_Based_Buffer_Overflow,0,BufferOverflowWrite,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0
n3,3,CWE190_Integer_Overflow__int_listen_socket_add_22_goodG2BSink,0,1,1,0,3,0,1,1,13,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{
    {
        {
            
            int result = data + 1;
            printIntLine(result);
        }
    }
}",Integer_Overflow,0,IntegerOverflow,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0
n0,0,CWE78_OS_Command_Injection__char_connect_socket_execl_32_bad,0,12,12,0,16,0,7,8,115,68,11,0,5,0,0,6,0,0,0,4,0,0,1,0,0,0,0,"{
    char * data;
    char * *dataPtr1 = &data;
    char * *dataPtr2 = &data;
    char dataBuffer[100] = COMMAND_ARG2;
    data = dataBuffer;
    {
        char * data = *dataPtr1;
        {
#ifdef _WIN32
            WSADATA wsaData;
            int wsaDataInit = 0;
#endif
            int recvResult;
            struct sockaddr_in service;
            char *replace;
            SOCKET connectSocket = INVALID_SOCKET;
            size_t dataLen = strlen(data);
            do
            {
#ifdef _WIN32
                if (WSAStartup(MAKEWORD(2,2), &wsaData) != NO_ERROR)
                {
                    break;
                }
                wsaDataInit = 1;
#endif
                
                connectSocket = socket(AF_INET, SOCK_STREAM, IPPROTO_TCP);
                if (connectSocket == INVALID_SOCKET)
                {
                    break;
                }
                memset(&service, 0, sizeof(service));
                service.sin_family = AF_INET;
                service.sin_addr.s_addr = inet_addr(IP_ADDRESS);
                service.sin_port = htons(TCP_PORT);
                if (connect(connectSocket, (struct sockaddr*)&service, sizeof(service)) == SOCKET_ERROR)
                {
                    break;
                }
                /* Abort on error or the connection was closed, make sure to recv one
                 * less char than is in the recv_buf in order to append a terminator */
                /* Abort on error or the connection was closed */
                recvResult = recv(connectSocket, (char *)(data + dataLen), sizeof(char) * (100 - dataLen - 1), 0);
                if (recvResult == SOCKET_ERROR || recvResult == 0)
                {
                    break;
                }
                /* Append null terminator */
                data[dataLen + recvResult / sizeof(char)] = '\0';
                /* Eliminate CRLF */
                replace = strchr(data, '\r');
                if (replace)
                {
                    *replace = '\0';
                }
                replace = strchr(data, '\n');
                if (replace)
                {
                    *replace = '\0';
                }
            }
            while (0);
            if (connectSocket != INVALID_SOCKET)
            {
                CLOSE_SOCKET(connectSocket);
            }
#ifdef _WIN32
            if (wsaDataInit)
            {
                WSACleanup();
            }
#endif
        }
        *dataPtr1 = data;
    }
    {
        char * data = *dataPtr2;
        /* execl - specify the path where the command is located */
        
        EXECL(COMMAND_INT_PATH, COMMAND_INT_PATH, COMMAND_ARG1, COMMAND_ARG3, NULL);
    }
}",OS_Command_Injection,1,InjectionCommand,0.0,0.0,15.0,5.0,0.0,7.0,0.0,0.0,1.0,0.0,32.0
n0,0,CWE122_Heap_Based_Buffer_Overflow__c_CWE805_int64_t_memcpy_13_bad,0,6,6,0,5,0,2,1,30,16,3,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,"{
    int64_t * data;
    data = NULL;
    if(GLOBAL_CONST_FIVE==5)
    {
        
        data = (int64_t *)malloc(50*sizeof(int64_t));
        if (data == NULL) {exit(-1);}
    }
    {
        int64_t source[100] = {0}; /* fill with 0's */
        
        memcpy(data, source, 100*sizeof(int64_t));
        printLongLongLine(data[0]);
        free(data);
    }
}",Heap_Based_Buffer_Overflow,1,BufferOverflowWrite,1.0,1.0,5.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,15.0
n2,2,CWE190_Integer_Overflow__char_max_add_22_goodB2G2Sink,0,2,2,0,6,0,2,3,22,6,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"{
    {
        
        if (data < CHAR_MAX)
        {
            char result = data + 1;
            printHexCharLine(result);
        }
        else
        {
            printLine(""data value is too large to perform arithmetic safely."");
        }
    }
}",Integer_Overflow,0,IntegerOverflow,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,8.0
n4,4,CWE327_Use_Broken_Crypto__w32_RC5_18_bad,0,31,31,0,31,0,14,15,124,37,9,0,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,"{
    goto sink;
sink:
    {
        FILE *pFile;
        HCRYPTPROV hCryptProv;
        HCRYPTKEY hKey;
        HCRYPTHASH hHash;
        char password[100];
        size_t passwordLen;
        char toBeDecrypted[100];
        DWORD toBeDecryptedLen = sizeof(toBeDecrypted)-1;
        /* Read the password from the console */
        printLine(""Enter the password: "");
        if (fgets(password, 100, stdin) == NULL)
        {
            printLine(""fgets() failed"");
            /* Restore NUL terminator if fgets fails */
            password[0] = '\0';
        }
        /* The next 3 lines remove the carriage return from the string that is
         * inserted by fgets() */
        passwordLen = strlen(password);
        if (passwordLen > 0)
        {
            password[passwordLen-1] = '\0';
        }
        /* Read the data to be decrypted from a file */
        pFile = fopen(""encrypted.txt"", ""rb"");
        if (pFile == NULL)
        {
            exit(1);
        }
        if (fread(toBeDecrypted, sizeof(char), 100, pFile) != 100)
        {
            fclose(pFile);
            exit(1);
        }
        toBeDecrypted[99] = '\0';
        /* Try to get a context with and without a new key set */
        if(!CryptAcquireContext(&hCryptProv, NULL, MS_ENH_RSA_AES_PROV, PROV_RSA_AES, 0))
        {
            if(!CryptAcquireContext(&hCryptProv, NULL, MS_ENH_RSA_AES_PROV, PROV_RSA_AES, CRYPT_NEWKEYSET))
            {
                printLine(""Error in acquiring cryptographic context"");
                exit(1);
            }
        }
        /* Create Hash handle */
        if(!CryptCreateHash(hCryptProv, CALG_SHA_256, 0, 0, &hHash))
        {
            printLine(""Error in creating hash"");
            exit(1);
        }
        /* Hash the password */
        if(!CryptHashData(hHash, (BYTE *) password, passwordLen, 0))
        {
            printLine(""Error in hashing password"");
            exit(1);
        }
        /* Derive a RC5 key from the Hashed password */
        if(!CryptDeriveKey(hCryptProv, CALG_RC5, hHash, 0, &hKey))
        {
            printLine(""Error in CryptDeriveKey"");
            exit(1);
        }
        
        if(!CryptDecrypt(hKey, 0, 1, 0, (BYTE *)toBeDecrypted, &toBeDecryptedLen))
        {
            printLine(""Error in decryption"");
            exit(1);
        }
        /* Ensure the plaintext is NUL-terminated */
        toBeDecrypted[toBeDecryptedLen] = '\0';
        printLine(toBeDecrypted);
        /* Cleanup */
        if (hKey)
        {
            CryptDestroyKey(hKey);
        }
        if (hHash)
        {
            CryptDestroyHash(hHash);
        }
        if (hCryptProv)
        {
            CryptReleaseContext(hCryptProv, 0);
        }
        if (pFile)
        {
            fclose(pFile);
        }
    }
}",Use_Broken_Crypto,1,Crypto,0.0,0.0,10.0,2.0,0.0,14.0,0.0,0.0,2.0,0.0,9.0
n0,0,CWE590_Free_Memory_Not_on_Heap__free_long_static_67_bad,0,1,1,0,5,1,1,3,25,14,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"{
    long * data;
     myStruct;
    data = NULL; /* Initialize data */
    {
        
        static long dataBuffer[100];
        {
            size_t i;
            for (i = 0; i < 100; i++)
            {
                dataBuffer[i] = 5L;
            }
        }
        data = dataBuffer;
    }
    myStruct.structFirst = data;
    (myStruct);
}",Free_Memory_Not_on_Heap,1,MemoryManagement,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0
n1,1,CWE127_Buffer_Underread__malloc_wchar_t_ncpy_66b_goodG2BSink,0,4,4,0,1,0,0,0,22,16,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"{
    wchar_t * data = dataArray[2];
    {
        wchar_t dest[100];
        wmemset(dest, L'C', 100-1); /* fill with 'C's */
        dest[100-1] = L'\0'; /* null terminate */
        
        wcsncpy(dest, data, wcslen(dest));
        /* Ensure null termination */
        dest[100-1] = L'\0';
        printWLine(dest);
        
    }
}",Buffer_Underread,0,BufferOverflowRead,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0
n0,0,CWE122_Heap_Based_Buffer_Overflow__c_CWE193_wchar_t_loop_31_bad,0,6,6,0,7,1,2,3,49,27,7,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"{
    wchar_t * data;
    data = NULL;
    
    data = (wchar_t *)malloc(10*sizeof(wchar_t));
    if (data == NULL) {exit(-1);}
    {
        wchar_t * dataCopy = data;
        wchar_t * data = dataCopy;
        {
            wchar_t source[10+1] = SRC_STRING;
            size_t i, sourceLen;
            sourceLen = wcslen(source);
            /* Copy length + 1 to include NUL terminator from source */
            
            for (i = 0; i < sourceLen + 1; i++)
            {
                data[i] = source[i];
            }
            printWLine(data);
            free(data);
        }
    }
}",Heap_Based_Buffer_Overflow,1,BufferOverflowWrite,1.0,1.0,5.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,13.0
n0,0,CWE400_Resource_Exhaustion__fscanf_sleep_04_bad,0,3,3,0,1,0,0,0,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"{
    int count;
    /* Initialize count */
    count = -1;
    if(STATIC_CONST_TRUE)
    {
        
        fscanf(stdin, ""%d"", &count);
    }
    if(STATIC_CONST_TRUE)
    {
        
        SLEEP(count);
        printLine(""Sleep time possibly too long"");
    }
}",Resource_Exhaustion,1,Resource,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0
n2,2,CWE190_Integer_Overflow__unsigned_int_fscanf_add_22_goodB2G2Sink,0,2,2,0,6,0,2,3,19,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{
    {
        
        if (data < UINT_MAX)
        {
            unsigned int result = data + 1;
            printUnsignedLine(result);
        }
        else
        {
            printLine(""data value is too large to perform arithmetic safely."");
        }
    }
}",Integer_Overflow,0,IntegerOverflow,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0
n0,0,CWE190_Integer_Overflow__char_fscanf_postinc_16_bad,0,2,2,0,5,0,0,4,17,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{
    char data;
    data = ' ';
    while(1)
    {
        
        fscanf (stdin, ""%c"", &data);
        break;
    }
    while(1)
    {
        {
            
            data++;
            char result = data;
            printHexCharLine(result);
        }
        break;
    }
}",Integer_Overflow,1,IntegerOverflow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0
n5,5,CWE114_Process_Control__w32_char_relativePath_41_bad,0,3,3,0,1,0,0,0,10,10,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"{
    char * data;
    char dataBuffer[100] = """";
    data = dataBuffer;
    
    strcpy(data, ""winsrv.dll"");
    anonymousSink(data);
}",Process_Control,1,InjectionAPIInput,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0
n1,1,CWE191_Integer_Underflow__unsigned_int_min_predec_68b_goodG2BSink,0,1,1,0,1,0,0,0,12,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{
    {
        
        --data;
        unsigned int result = data;
        printUnsignedLine(result);
    }
}",Integer_Underflow,0,IntegerUnderflow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0
n0,0,CWE758_Undefined_Behavior__double_pointer_malloc_use_03_bad,0,4,4,0,3,0,1,0,20,8,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"{
    if(5==5)
    {
        {
            double * * pointer = (double * *)malloc(sizeof(double *));
            if (pointer == NULL) {exit(-1);}
            double * data = *pointer; 
            free(pointer);
            printDoubleLine(*data);
        }
    }
}",Undefined_Behavior,1,ControlFlow,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,10.0
n0,0,CWE121_Stack_Based_Buffer_Overflow__CWE193_char_declare_memmove_34_bad,0,4,4,0,1,0,0,0,29,21,6,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"{
    char * data;
     myUnion;
    char dataBuffer[10];
    
    data = dataBuffer;
    data[0] = '\0'; /* null terminate */
    myUnion.unionFirst = data;
    {
        char * data = myUnion.unionSecond;
        {
            char source[10+1] = SRC_STRING;
            /* Copy length + 1 to include NUL terminator from source */
            
            memmove(data, source, (strlen(source) + 1) * sizeof(char));
            printLine(data);
        }
    }
}",Stack_Based_Buffer_Overflow,1,BufferOverflowWrite,0.0,0.0,8.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0
n2,2,CWE191_Integer_Underflow__int64_t_rand_multiply_67b_goodB2GSink,0,2,2,0,6,0,2,3,24,10,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{
    int64_t data = myStruct.structFirst;
    if(data < 0) /* ensure we won't have an overflow */
    {
        
        if (data > (LLONG_MIN/2))
        {
            int64_t result = data * 2;
            printLongLongLine(result);
        }
        else
        {
            printLine(""data value is too small to perform multiplication."");
        }
    }
}",Integer_Underflow,0,IntegerUnderflow,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,11.0
n1,1,CWE124_Buffer_Underwrite__char_alloca_memcpy_68b_goodG2BSink,0,3,3,0,1,0,0,0,17,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{
    {
        char source[100];
        memset(source, 'C', 100-1); /* fill with 'C's */
        source[100-1] = '\0'; /* null terminate */
        
        memcpy(data, source, 100*sizeof(char));
        /* Ensure the destination buffer is null terminated */
        data[100-1] = '\0';
        printLine(data);
    }
}",Buffer_Underwrite,0,BufferOverflowWrite,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0
n4,4,CWE114_Process_Control__w32_char_environment_06_bad,0,8,8,0,6,0,2,3,38,21,5,0,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,"{
    char * data;
    char dataBuffer[100] = """";
    data = dataBuffer;
    if(STATIC_CONST_FIVE==5)
    {
        {
            /* Append input from an environment variable to data */
            size_t dataLen = strlen(data);
            char * environment = GETENV(ENV_VARIABLE);
            /* If there is data in the environment variable */
            if (environment != NULL)
            {
                
                strncat(data+dataLen, environment, 100-dataLen-1);
            }
        }
    }
    {
        HMODULE hModule;
        
        hModule = LoadLibraryA(data);
        if (hModule != NULL)
        {
            FreeLibrary(hModule);
            printLine(""Library loaded and freed successfully"");
        }
        else
        {
            printLine(""Unable to load library"");
        }
    }
}",Process_Control,1,InjectionAPIInput,0.0,0.0,5.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,16.0
